# word,reading
茜色,あかねいろ
朝焼け,あさやけ
永遠,えいえん
黄昏,たそがれ
記憶の欠片,きおくのかけら
記憶,きおく
奇跡的,きせきてき
奇跡,きせき
期待外れ,きたいはずれ
孤独,こどく
鼓動,こどう
作詞,さくし
作曲,さっきょく
残響,ざんきょう
時間,じかん
現実,げんじつ
幻想,げんそう
重なり合う,かさなりあう
重なり,かさなり
重なる,かさなる
重ね,かさね
重ねた手,かさねたて
重ねた心,かさねたこころ
衝動,しょうどう
衝突,しょうとつ
衝撃,しょうげき
未来図,みらいず
未来像,みらいぞう
未来,みらい
目覚め,めざめ
瞳,ひとみ
虹色,にじいろ
黎明,れいめい
夜空,よぞら
夜明け前,よあけばまえ
夜明け,よあけ
夜風,よかぜ
希望の光,きぼうのひかり
希望,きぼう
茜空,あかねぞら
旋律,せんりつ
瞬間,しゅんかん
瞬き,またたき
瞬きもせず,またたきもせず
孤島,ことう
感傷,かんしょう
感情,かんじょう
感覚,かんかく
約束の地,やくそくのち
約束の歌,やくそくのうた
約束,やくそく
夢中,むちゅう
鼓膜,こまく
連れてって,つれてって
連れて行って,つれていって
連れてく,つれてく
胸の鼓動,むねのこどう
涙声,なみだごえ
涙色,なみだいろ
黄昏時,たそがれどき
黄昏れる,たそがれる
希望の歌,きぼうのうた
刻まれた,きざまれた
刻む,きざむ
届いて,とどいて
届いた,とどいた
届く,とどく
届かない,とどかない
近づきたい,ちかづきたい
近づき,ちかづき
近づく,ちかづく
近づいた,ちかづいた
近くにいたくて,ちかくにいたくて
心の声,こころのこえ
心拍,しんぱく
心臓,しんぞう
心音,しんおん
幻想的,げんそうてき
希望の未来,きぼうのみらい
未来の君,みらいのきみ
未来の僕,みらいのぼく
希望の約束,きぼうのやくそく
重苦しい,おもくるしい
終わり,おわり
始まり,はじまり
黄昏の空,たそがれのそら
孤独な夜,こどくなよる
孤独な世界,こどくなせかい
永遠の瞬間,えいえんのしゅんかん
永遠の愛,えいえんのあい
永遠のよう,えいえんのよう
記憶の海,きおくのうみ
記憶の森,きおくのもり
幻想の世界,げんそうのせかい
幻想の中,げんそうのなか
感情の波,かんじょうのなみ
感情の渦,かんじょうのうず
衝撃的,しょうげきてき
衝動的,しょうどうてき
願い星,ねがいぼし
願い事,ねがいごと
永遠の光,えいえんのひかり
夜を越えて,よるをこえて
夜を駆ける,よるをかける
夜の中,よるのなか
息を吸う度,いきをすうたび
息を吸う毎に,いきをするごとに
重なる影,かさなるかげ
重なる声,かさなるこえ
見上げた空,みあげたそら
見下ろす街,みおろすまち
揺れる心,ゆれるこころ
揺れる想い,ゆれるおもい
涙がこぼれる,なみだがこぼれる
涙が止まらない,なみだがとまらない
涙で滲む,なみだでにじむ
涙と共に,なみだとともに
冷たい風,つめたいかぜ
温かい手,あたたかいて
温もり,ぬくもり
願いを込めて,ねがいをこめて
願い続ける,ねがいつづける
孤独を抱えて,こどくをかかえて
孤独を知って,こどくをしって
孤独を忘れて,こどくをわすれて
孤独を超えて,こどくをこえて
希望を探して,きぼうをさがして
希望を描く,きぼうをえがく
希望を信じて,きぼうをしんじて
心を重ねて,こころをかさねて
心が震えて,こころがふるえて
心が叫んで,こころがさけんで
心が痛くて,こころがいたくて
心が見たくて,こころがみたくて
心が奏でる,こころがかなでる
心が踊る,こころがおどる
心が震える,こころがふるえる
心が張り裂ける,こころがはりさける
心が溶けて,こころがとけて
心が燃えて,こころがもえて
心に刻んで,こころにきざんで
心に触れて,こころにふれて
心に響く,こころにひびく
心に残る,こころにのこる
心に灯る,こころにともる
心に宿る,こころにやどる
心を繋いで,こころをつないで
心を開いて,こころをひらいて
心を重ねて,こころをかさねて
心を抱いて,こころをいだいて
心を許して,こころをゆるして
心を叫んで,こころをさけんで
心を預ける,こころをあずける
